ETKINLIK_ADI,ICERIK_ACIKLAMA
3 Dakika 10 Saniyede Zinde Kalma Teknikleri,"Bora Can Gökçe tarafından hazırlanan bu videoda, evde kaldığımız bu dönemde hareketlerimizin de azalması nedeniyle hissedeceğimiz tembellik ve de halsizlik duygusunu yok etmek ve evde sadece 3 dakika 10 saniyede daha zinde hissedilmenin ipuçları yer almaktadır. "
6 Adımda Daha Verimli Sanal Toplantılar,"Sanal toplantılar oldukça pratiktir ama aynı zamanda  insanların dikkatinin dağılma olasılığı daha fazladır. Dikkat dağıldığında, toplantılarda odak kaybedilir ve daha fazla tekrar yapmak gerekir. Sanal toplantıların verimli geçebilmesi için izlemeniz gereken 6 adım bu eğitimde."
Acar Baltaş ile 21. YY Yetkinlikleri Üzerine Sohbetler,"Toplum dinamiğinin, ilişkilerinin ve iş yapma biçiminin kökten değiştiği bir süreci yaşıyoruz ve uyum sağlıyoruz. Bu videoda ait hissetme duygusundan ve 21. yüzyılda kariyerini geliştirmek ve hayatını sürdürmek için öğrenmeye hevesli olmanın öneminden bahsedilmektedir."
Acar Baltaş ile 21. YY Yetkinlikleri Üzerine Sohbetler,Günümüzde liderlik anlayışının güç ile değil güven veren anlam duygusu ile yönetmek kanıtlanmıştır. Bu videoda kadın liderliğinin öneminden ve araştırma sonuçları ile kadın liderlerinin nasıl göründüğü hakkında bilgiler verilmiştir.
Acar Baltaş ile 21. YY Yetkinlikleri Üzerine Sohbetler,Bu videoda derecelendirmeye dayanmayan sistemin sonuçlarının derecelendirmeye kıyasla büyük ölçüde olumlu olduğu aktarılmıştır.
Acar Baltaş ile 21. YY Yetkinlikleri Üzerine Sohbetler,"Zor durumları yönetebilen ve bu durumla başa çıkabilen insanlar psikolojik olarak daha sağlamdırlar. Psikolojik sağlamlık, zor deneyimlerden ve öngörülemez zorlayıcı olaylarla baş edebilme, uyum sağlayabilme, esneklik kullanabilme ve ilerleyebilme, zorlayıcı bir stres faktörü karşısında, olumsuz duygusal tecrübelere karşı kendini toparlayabilme ve iyileştirme gücü şeklinde tanımlanır. Bu videoda psikolojik sağlamlığın boyutları aktarılmıştır."
Acar Baltaş ile 21. YY Yetkinlikleri Üzerine Sohbetler,"Bir liderin en önemli işlevi koruma, sahiplenme duygusu vererek güven oluşturmaktır. Böylece birlikte çalıştığı kişileri konfor alanlarından çıkmak için cesaretlendirir ve potansiyellerini kullanmalarını sağlar. Bu videoda güvenli liman liderinin dokuz özelliği aktarılmıştır.  "
Acar Baltaş ile 21. YY Yetkinlikleri Üzerine Sohbetler,Güvenli liman lideri olmak konusunda temel yaklaşım bağ kurmak ile ilgilidir. Bu videoda size güvenli liman lideri olmak yolunda gelişmenizi sağlayacak ve derin farkındalık yaratacak sorular sorulmuştur.
Acar Baltaş ile 21. YY Yetkinlikleri Üzerine Sohbetler,Güvenli limanlar insana korunma duygusu ve güven verir. İnsan korunduğu ve önemsediği takdirde cesaretli ve başarılı olur. Bir liderde sahip olması gereken özelliklerin başında koruma ve güven oluşturmak vardır. Bu videoda 'güvenli liman' niteliği taşıyan lider nedir ve güvenli liman liderinin yönetim biçimi açıklanmıştır.
Acar Baltaş ile 21. YY Yetkinlikleri Üzerine Sohbetler,Araştırma sonucunda ideal lider özelliklerinin birçoğunun kadınlara atfedilen nitelikler olduğu kanıtlanmıştır. Kadınların yönetimde olduğu kurumlar daha avantajlı hale geliyor. Bu videoda araştırmanın bulgularından hareketle kadınların yönetimde söz sahibi olduğu bir dünyanın veya kadınların bir kurumun hangi avantajlara sahip olduğu aktarılmıştır.
Acar Baltaş ile 21. YY Yetkinlikleri Üzerine Sohbetler,Dünya üzerinde liderlik ile ilgili klişeleşmiş birçok eğitim bulunur. Bu eğitimleri alan herkesin iyi lider olması gibi bir düşünceye kapılamayız çünkü bazı insanlar liderliğe yatkın değildir. Bu videoda geleneksel liderlik eğitimlerinin beklenen sonucu neden vermediği açıklanmıştır.
Acar Baltaş ile 21. YY Yetkinlikleri Üzerine Sohbetler,Uzaktan yönetmek yöneticiler için kazanılması gereken bir beceri haline geldi. Bazı yöneticiler bu durumdan çekinse de uzaktan yönetme ile yakından yönetme arasında çok büyük bir fark olmadığını anladılar. Bu videoda 'uzaktan yönetme'nin nasıl olması gerektiği anlatılmıştır.
Acar Baltaş ile 21. YY Yetkinlikleri Üzerine Sohbetler,"Yüksek performans ancak yürekten adanmış çalışanlar tarafından gerçekleştirilir. Yürekten adanma, fazladan çaba göstermeye istekli olmaktır. Bu videoda yürekten adanmış çalışanların özellikleri aktarılmıştır."
Acar Baltaş ile 21. YY Yetkinlikleri Üzerine Sohbetler,Bu videoda “Yüksek potansiyelli insanları nasıl tanıyacağız?” sorusunun cevabı verilmiştir.
