_id,question,airesponse,egitimheaderArr,egitimdescArr,similarity_scores,içerikDescriptions
64be7b5798312efc00c1f4a5,stresime hakim olamıyorum,"Stresi yönetmek, stresle başa çıkmak, stresi kontrol etmek ve nihayetinde huzurlu ve mutlu bir insan olma ipuçlarını keşfetmek için Mehmet Auf'un eğlenceli tarzı ile eğitimimize katılabilirsiniz.","['Mehmet Auf ile İyi Günde, Kötü Günde', 'Mehmet Auf: Stresle Başa Çıkma Yolları - (İşaret Dili)']","Stres, insan hayatını olumsuz yönde etkiler. Kontrol altına alınmaz ise stresin boyutu giderek büyür. Düşünceler ve olaylar karşısında verilen tepkiler stresin yönünü olumlu şekilde değiştirebilir. İşte, bu eğitimimizde Mehmet Auf’un eğlenceli tarzı ile stresi yönetmek, stresle başa çıkmak, stresi kontrol etmek ve nihayetinde huzurlu ve mutlu bir insan olma ipuçlarını keşfedeceksiniz.","[0.842884995867359, 0.835985113810278]",
64be7be698312efc00c1f4a7,çalışanlarımın kodlama verimliliğini arttırmak istiyorum,"Sorunuza doğrudan cevap veremiyorum ama size çeşitli eğitim ve okuma başlığı önerebilirim. Örneğin, çalışanlarınızın kodlama becerilerini arttırmak için kodlama eğitimleri, kodlama kültürünün geliştirilmesi ve liderlik becerilerinin geliştirilmesi gibi konuları içeren eğitimler ve okuma materyalleri önerebilirim.","['Skillsoft ile Liderlik', 'Skillsoft ile Liderlik - Uzman Görüşleri']","Liderlik, en geniş anlamıyla bir hedefe ulaşılması için başkalarını etkileme yeteneğidir. Bu eğitimimizde dünyaca ünlü alanında uzman kişilerin liderlik ile ilgili görüşlerini bulabilirsiniz.","[0.8537410928608559, 0.853727657236682]",
64be7c6e98312efc00c1f4a9,hiçbir görevi süresinde bitiremiyorum,"Sorunuza doğrudan cevap veremiyorum ama size çeşitli eğitim ve okuma başlığı önerebilirim. Örneğin, sürekli gelişmeyi benimseyerek, dünyaca ünlü alanında uzman kişiler ile beraber hazırlanmış videoları izleyerek veya okuyarak konu hakkında daha fazla bilgi edinebilirsiniz.","['Skillsoft ile Liderlik - Kişisel Gelişim', 'Skillsoft ile İşinde İyi Olmanın İncelikleri']",NAN,"[0.817293402892705, 0.8170564419039552]",
64be7f4298312efc00c1f4ab,Sıfırdan tasarım öğrenmek istiyorum. Nasıl bir eğitim önerirsin?,"Sıfırdan tasarım öğrenmek için, müşteri deneyimi gelişim yolculuğu, tasarım düşüncesi sürecine nasıl adapte olabileceğimizi içeren bir eğitim öneriyorum.","['Müşteri Deneyimi Gelişim Yolculuğu', 'Tasarım Düşüncesi Süreci']","Bu eğitim, çözüm üretmek için ortak uzmanlıktan yararlanan bir yaklaşımı tanımlarken tasarım düşüncesi sürecine nasıl adapte olabileceğimizi içermektedir.","[0.8571136477371443, 0.8540663773083332]",
64be7f9598312efc00c1f4ad,Yarın yönetime yapacağım sunumu nasıl daha iyi yapabilirim?,"Yarın yönetime yapacağınız sunumu daha etkili hale getirmek için Mehmet Auf'un eğlenceli tarzı ile etkili toplantı yönetebilme yollarını öğrenerek sunumunuzu daha verimli hale getirebilirsiniz. Bu gelişim yolculuğu, iş hayatının olmazsa olmazı toplantıları birer zaman kaybı olmaktan çıkarıp verimli ve etkili bir hale getirmeye yardımcı olmak için hazırlandı. Üstelik sadece fiziki toplantılarda değil sanal toplantılarda da yapılması gerekenler aktarılıyor.","['Mehmet Auf ile Toplantı Yönetimi', 'Sonuçsuz Toplantılara Son: Toplantı Yönetimi Gelişim Yolculuğu']","Bu gelişim yolculuğu, iş hayatının olmazsa olmazı toplantıları birer zaman kaybı olmaktan çıkarıp verimli ve etkili bir hale getirmeye yardımcı olmak için hazırlandı. Üstelik sadece fiziki toplantılarda değil sanal toplantılarda da yapılması gerekenler aktarılıyor.","[0.8360582436635307, 0.8314559512517335]",
64be7fe898312efc00c1f4af,html öğrenmek istiyorum,Sorunuza doğrudan cevap veremiyorum ama size çeşitli eğitim ve okuma başlığı önerebilirim. HTML öğrenmek için W3Schools ve Codecademy gibi kaynakları kullanabilirsiniz.,['Büyüme Odaklı SEO Gelişim Yolculuğu'],"Yalnızca organik trafiği artırmak için değil, organikten elde edilen dönüşümleri de artırmaya yönelik stratejileri kapsayan, güncel UX gerekliliklerini ve SEO'nun temellerini içeren, SEO ile ilk kez tanışacak olanları da SEO ile uzun zamandır ilgilenenleri de hedefleyen kapsamlı bir SEO eğitimine hazır olun!","[0.8571123180417624, 0.8484579611087824]",
64be80f061b15025add18a24,arabayla kaza yapmaktan korkuyorum,Sorunuza doğrudan cevap veremiyorum ama size çeşitli eğitim ve okuma başlığı önerebilirim.,"['Kaynak Dergisi Makaleleri - Profesyonellik', 'Skillsoft ile Liderlik - Müşteri Duyarlılık']","['Profesyoneli kısaca tanımlayacak olursak; bir meslek mensubu olup bu alandan yaşamını kazanan kişi. Bu eğitimin içerisinde bulunan makaleleri inceleyerek profesyonellik hakkında bilgi edinebilirsiniz.', 'Müşteriyi memnun etmek için onu anlamak ve aynı çizgide olmak gerekir. Bu eğitimimizde dünyaca ünlü alanında uzman kişiler ile beraber hazırlanmış videoları bulabilirsiniz.']","[0.8138163071770039, 0.8045238767206302]",
64be817861b15025add18a26,trafik kazası,Trafik kazalarının önlenmesi için sürücülerin güvenli bir sürüş için eğitim alması önerilmektedir. Bu eğitimde güvenli bir sürüş için bilinmesi ve uygulanması gereken tedbirler anlatılmaktadır.,['Güvenli Sürüş Teknikleri'],['Hayatımızın en riskli alanlarından biri olan trafik kazaları sonucunda can ve mal kayıpları oluşabiliyor. Can ve mal kaybını azaltacak yöntemlerden biri de sürücülerin güvenli bir sürüş için eğitim almasıdır. Bu eğitimde güvenli bir sürüş için bilinmesi ve uygulanması gereken tedbirler anlatılmıştır. Sürücüler bu eğitimi tamamladıklarında daha güvenli bir sürücü olabilmek için adım atmış olacaktır.'],"[0.8596613941602351, 0.8585685372449788]",
64be81c361b15025add18a28,duygularıma hakim olamıyorum,"Sorunuza doğrudan cevap veremiyorum ama size çeşitli eğitim ve okuma başlığı önerebilirim. Örneğin, duygularınızı tanımlamak, kontrol etmek ve yönetmek için kullanabileceğiniz teknikleri öğrenmek için duygularınızı yönetme eğitimleri alabilirsiniz.","['Kaynak Dergisi Makaleleri - Profesyonellik', 'Skillsoft ile İnsan ve İş Yönetimi']","['Profesyoneli kısaca tanımlayacak olursak; bir meslek mensubu olup bu alandan yaşamını kazanan kişi. Bu eğitimin içerisinde bulunan makaleleri inceleyerek profesyonellik hakkında bilgi edinebilirsiniz.', 'NAN']","[0.8406272052260183, 0.8384580708444762]",
64c253190fe42d532e07bb77,ikna kabiliyetimi geliştirmek istiyorum. Bağlangıç seviyesinde 3 dakikadan kısa bir eğitim güzel olur,"İkna kabiliyetini geliştirmek için, öncelikle konuşma ve iletişim becerilerinizi geliştirmeniz gerekir. Bunu yapmak için, konuşma ve iletişim becerilerinizi geliştirmek için çeşitli eğitim ve okuma başlıkları önerebilirim. Örneğin, konuşma ve iletişim becerilerinizi geliştirmek için konuşma kurslarına katılabilir, konuşma ve iletişim konusunda kitaplar okuyabilir veya konuşma ve iletişim becerilerinizi geliştirmek için çevrimiçi eğitimler alabilirsiniz.","['Kısa Kısa: Yönetim Becerileri', 'Nasıl Ekip Oluruz? Video Serisi', 'Gerçek Ekipler Video Serisi']","['Organizasyonların başarısında, yöneticilerinin liderlik becerilerinin payı oldukça yüksektir. Bu nedenle mevcut yöneticilerin ve gelecekte yönetici olarak sorumluluk alması beklenen kişilerin temel liderlik özelliklerine sahip olması çok önemlidir. Unutmayın! Liderlik öğretilebilir ve geliştirilebilir bir yetkinliktir.', 'Bu video serisi iş hayatının önemli konularından biri olan ve başarıda önemli rolü bulunan ekip çalışması hakkında hazırlandı. Bu serinin sonunda profesyonel davranış, nasıl daha iyi ekip olunacağı, ekipte güven, uzlaşma ve sinerji konuları hakkında bilgi ve beceriler kazanılacaktır.', 'Ekip olmanın gerçek anlamını kavrayarak, başarıyla tamamlanan harika işler çıkarmanın nasıl mümkün olabileceğini, iyi bir ekip üyesi olmanın püf noktalarını, öğrenen bilgilerin uygulanması sonucu ortaya çıkacak fayda ve katma değeri, uyumu ve fikir farklılıklarının nasıl zenginliğe dönüşebileceğini akıcı, eğlenceli ve akılda kalıcı şekilde aktaran bir video eğitim serisidir. ']",,"['Güven, güçlü ekipler oluşturmanın, dinamik bir çalışma kültürü yaratmanın ve verimli iş sonuçlarının oluşturmanın temelidir. Güven duygusu ile iş hedeflerine daha kolay ulaşabilir. Güven duygusu yaratmadığınızda, çalışma arkadaşlarınızın kendini ekibin bir parçası olarak görmesi mümkün olmaz. Bu durumda sürekli kendi çıkarlarınız için bir beklenti içinde olabilir ve savaş vermek zorunda kalabilirsiniz. Bu videoda güven oluşturmaya nereden başlayacağınızı ve neler yapmanız gerektiğini öğreneceksiniz.', ""Bir grup insan ile gerçek bir ekibin arasındaki farkın 'güven' olduğunu, iş birliği, iletişim ve yetenekli kişilerin ortak bir gelecek vizyonunu paylaşması gibi gerçek ekiplere ait özelliklerin temelinde güven inşasının yer adığını anlatan bölümde, güvenin adım adım nasıl sağlam temellere oturtulacağı anlatılmıştır."", 'İçgüdülerinize güvenin, öğrenmeye devam edin.', 'İçgüdülerinize güvenin, öğrenmeye devam edin.', 'Yapılan araştırmalar gösteriyor ki takımlarda karşılaşılan aksaklıkların başında güven eksikliği yer alıyor. Eğer takım güvensizlik içerisindeyse üzerine hiçbir şey inşa edemezsiniz. Diğer yapılan bir araştırmada ise insanların güven ve aidiyet duydukları bir ortamda olduklarında doğal dürtülerinin güven ve işbirliği olduğu ortaya çıkmıştır. İlişkilerinize güven aşılamak için takdir etmek iyi bir yoldur. Bu video da, neden takdir etmeniz gerektiğini ve doğru takdir yöntemleri hakkında bilgi sahibi olacaksınız.', 'Takımınızı geliştirmek için şu modeli uygulayın: Hedefler, Gerçek Durum, Seçenekler ve Bir Sonraki Adım.', 'Takımınızı geliştirmek için şu modeli uygulayın: Hedefler, Gerçek Durum, Seçenekler ve Bir Sonraki Adım.', 'Ekip Çalışmasında İhtiyacımız Olan En Temel Değerler eğitiminde ekip çalışmasında güvenin önemi ve yeri ile güveni geri kazanabilmenin yollarını öğreneceksiniz.', 'Ekip Çalışmasında İhtiyacımız Olan En Temel Değerler eğitiminde ekip çalışmasında güvenin önemi ve yeri ile güveni geri kazanabilmenin yollarını öğreneceksiniz.', 'Açıklık Dürüstlük ve Güven Eksikliğinden Kaynaklanan Sorunlar eğitiminde açıklık, dürüstlük ve güvenin ekipte işbirliğine etkisini ve ekip üyelerine etkisini öğreneceksiniz.']"
